"date","type","dead","injured","location","details","perpetrator","partOf"
"22","Shootings","0 (+1)","1","Harrisburg, United States","A string of shootings began just steps from the state's Capitol building when El-Mofty fired several times at a Capitol Police officer and then, shot and injured a state trooper. Later, he used two handguns to open fire at several officers who then returned fire and killed him.[104]","Ahmed Amin El-Mofty","Terrorism in the United States"
"22","Assassination","1","0","Tierralta, Colombia","A social leader president of the cooperative productors of cocoa and honey was found dead in the village of La Ossa, in the Nudo de Paramillo, Cordoba Department.[105]","Paramilitaries (suspected)","Colombian conflict"
"22-23","Shootings","3","0","Far North Region, Cameroon","Three people were killed in two attacks in northern Cameroon by Boko Haram militants.[106]","Boko Haram","Boko Haram insurgency"
"24","Bombing","7","3","Lashkar Gah, Afghanistan","At least seven civilians were killed and three others were wounded in an IED explosion in Helmand province.[107]","Taliban (suspected)","War in Afghanistan"
"24","Bombing","1","5","Baghdad, Iraq","A civilian was killed and five others injured after a bomb explosion in a market in southern Baghdad.[108]","Islamic State (suspected)","Iraqi insurgency"
"24","Bombing","3","0","North Waziristan, Pakistan","Three security officers were killed in an IED explosion in northern Pakistan.[109]","Al-Qaeda (suspected)","War in North-West Pakistan"
"24","Shooting","4
(+3)
","0","Tikrit, Iraq","Four personnel of the pro-government paramilitary troops and three Islamic State militants were killed in a shooting attack.[110]","Islamic State","Iraqi insurgency"
"24","Bombing","2","1","Hakkâri Province, Turkey","Two soldiers were killed and one injured when a bomb was went off in Hakkâri Province, southern Turkey.[111]","PKK","Kurdish–Turkish conflict"
"24","Shootings","10","0","Kirkuk, Kurdistan","Six tribal fighters were killed in confrontations with Islamic State militants in west of Kirkuk. In a related attack at least four people, including a senior tribesman and police department chief, were killed in two armed attacks.[112][113]","Islamic State","Iraqi insurgency"
"25","Suicide bombing","10 (+1)","5","Kabul, Afghanistan","Ten people were killed and five injured in a suicide bomb attack near the compound of Afghanistan's intelligence agency in Kabul.[114]","Islamic State","War in Afghanistan"
"25","Shooting","4","0","Mosul, Iraq","Four policemen were killed during a shooting against Islamic State terrorists in the west of Mosul.[115]","Islamic State","Iraqi insurgency"
"25","Bombing","0","4","San José del Guaviare, Colombia","At least four marines were wounded when an explosive charge explode near an army convoy.[116]","FARC dissidents","Colombian conflict"
"25","Bombing","2","1","Hawija, Iraq","An explosive charge went off while an army patrol was passing in Hawija, leaving two soldiers dead and an officer injured.[117]","Islamic State","Iraqi insurgency"
"25","Shooting, Arson","2","0","North Kivu, Democratic Republic of Congo","Two policemen are killed in a rebel attack on the private residence of President Joseph Kabila, in the town of Musienne.[118]","ADF or Mai-Mai (suspected)","Kivu conflict"
"25","Shooting","2","1","Hakkari Province, Turkey","Two turkey soldiers were killed and other was injured during an attack in the province of Hakkari[119]","PKK","Kurdish–Turkish conflict (2015–present)"
"26","Bombing","0","0","Marada, Libya","Militants of the Islamic State attacked one of Libya's main oil pipelines, decreasing the flow of oil in the area. The event occurred at 15 km. to the north of the town of Marada.[120]","Islamic State","Libyan Civil War (2014–present)"
"26","Bombing, Shooting","0","7","Narathiwat Province, Thailand","At least six thai rangers and a civilian woman were injured during separate incidents in the province of Narathiwat in the south of the country.[121]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"26","Shootdown","1","0","Hama Province, Syrian","A group of terrorists attacked and shot down a Syrian military plane around the city of Hama.[122][123]","Tahrir al-Sham","Syrian Civil war"
"27","Bombing, Shooting","1 (+3)","5","Baghdad, Iraq","At  one government militiamen was killed and other injured during a roadside bombing in Bahgdad. In other incident at least four civilians were wounded for a bomb blast, and three members of the Islamic State were shot dead during an raid in the north of the country.[124]","Islamic State","Iraqi insurgency"
